S0001	1	3252007	8445142	19	-0.216906
S0001	1	8670296	9062952	2	-0.203475
S0001	1	9200714	9281716	2	0.816355
S0001	1	9559042	31322886	84	-0.203475
S0001	1	31332492	35742548	20	0.035669
S0001	1	35742791	38596776	10	-0.631718
S0001	1	38685557	61248310	98	0.035669
S0001	1	61274534	67510598	36	-0.203475
S0001	1	67991110	73122262	19	-0.512481
S0001	1	73150493	76530309	10	-1.005911
S0001	1	76781576	81995750	14	-0.696906
S0001	1	82139871	89167882	37	-0.650940
S0001	1	89316412	93772285	20	-0.696906
S0001	1	93924979	96873350	16	-0.921073
S0001	1	97018734	114198979	59	-0.696906
S0001	1	115069906	119778411	27	-0.203475
S0001	1	119836835	119836835	1	0.225959
S0001	1	119910467	165449339	87	-0.203475
S0001	1	165654869	166035856	2	-1.625758
S0001	1	166096104	166096104	1	-1.284727
S0001	1	166139958	170699149	14	-1.625758
S0001	1	170960198	218318460	152	-0.203475
S0001	1	219351142	220089352	4	-0.478987
S0001	1	220333753	225732239	23	-0.203475
S0001	1	225768033	225768033	1	-0.949583
S0001	1	226397002	231143291	22	-0.203475
S0001	1	231991131	231991131	1	-0.563095
S0001	1	232244722	234852230	8	-0.203475
S0001	1	234915914	237463599	7	0.285615
S0001	1	238211712	247785294	34	0.652257
S0001	2	548277	10864597	26	-0.025536
S0001	2	10865116	11175178	3	0.690550
S0001	2	11933386	17989466	16	-0.025536
S0001	2	18209097	18209097	1	0.269737
S0001	2	18400797	57380563	119	-0.025536
S0001	2	57461044	58190681	5	-0.659429
S0001	2	58214883	59741424	8	-0.025536
S0001	2	59981123	61027891	5	-2.954948
S0001	2	61518573	198962974	336	-0.025536
S0001	2	199084987	199299078	2	0.584676
S0001	2	199888655	207551446	21	-0.025536
S0001	2	208331023	228726714	50	-0.066758
S0001	2	228998237	232685865	9	0.268496
S0001	2	232768558	237831359	19	0.472919
S0001	2	238415117	238646253	4	0.724345
S0001	2	238769680	238769680	1	0.389091
S0001	2	238903310	242217627	14	-0.066758
S0001	3	3362137	65573867	190	-0.002301
S0001	3	65597198	70614178	18	3.049696
S0001	3	70783491	71928710	10	-0.002301
S0001	3	72230791	72230791	1	-0.330975
S0001	3	72589283	104617988	105	-0.002301
S0001	3	104883170	104883170	1	-0.375106
S0001	3	104933158	106928347	7	-0.002301
S0001	3	107354552	168941700	181	0.348388
S0001	3	169085534	169085534	1	-0.713422
S0001	3	170220126	193273481	82	0.348388
S0001	3	193911667	197212100	10	0.690343
S0001	4	1059202	10336032	46	-0.729999
S0001	4	10746555	10746555	1	-0.203058
S0001	4	11084259	12779652	2	-0.729999
S0001	4	12901369	12901369	1	-1.113353
S0001	4	13157860	47349894	90	-0.729999
S0001	4	47754597	54542616	7	0.000000
S0001	4	54868468	63498508	24	0.586861
S0001	4	64174876	64174876	1	0.954490
S0001	4	64569807	73220990	31	0.586861
S0001	4	73293189	80452832	32	-0.265609
S0001	4	80640297	88008401	23	0.586861
S0001	4	88804281	88804281	1	0.170732
S0001	4	89010072	101884585	29	0.586861
S0001	4	102032299	103296846	6	1.782371
S0001	4	103375303	129133940	62	0.586861
S0001	4	130165097	130165097	1	1.039385
S0001	4	130320729	136194693	17	0.586861
S0001	4	137682275	138192283	2	0.174766
S0001	4	138720243	141538820	11	0.586861
S0001	4	142309742	150263828	27	0.830369
S0001	4	150728623	154320701	14	0.586861
S0001	4	154699350	157542791	10	1.229497
S0001	4	158064499	188763651	77	0.586861
S0001	5	1325767	6188186	26	0.494212
S0001	5	6462338	6462338	1	0.115660
S0001	5	6572206	12629951	15	0.494212
S0001	5	14290274	21990114	18	0.834760
S0001	5	22036041	28752494	24	0.340548
S0001	5	29052682	29052682	1	0.609844
S0001	5	29507658	29507658	1	0.054137
S0001	5	29849398	31863958	3	0.910195
S0001	5	32362576	32893260	4	1.465903
S0001	5	33315738	35873568	12	1.196607
S0001	5	36405462	44652902	31	0.340548
S0001	5	44718710	44822200	2	1.239356
S0001	5	45107661	51237372	6	0.340548
S0001	5	51501015	55198686	15	0.000000
